id,wikidata_id
A000360,Q419976
B000575,Q1525924
B000944,Q381880
B001135,Q331278
B001230,Q40628
B001236,Q1344707
B001261,Q720521
B001267,Q554792
B001277,Q2023708
B001288,Q1135767
C000127,Q22250
C000141,Q723295
C000174,Q457432
C000567,Q723896
C000880,Q734319
C001035,Q22279
C001047,Q459618
C001056,Q719568
C001070,Q887841
C001071,Q331719
C001075,Q861999
C001088,Q923242
C001095,Q3090307
C001098,Q2036942
C001113,Q5052604
D000563,Q434804
D000607,Q1691395
D000618,Q3200900
D000622,Q3036410
E000285,Q432431
E000295,Q13475242
F000062,Q230733
F000444,Q929581
F000457,Q319084
F000463,Q2580649
G000359,Q22212
G000386,Q529294
G000555,Q22222
G000562,Q1135774
H000338,Q381157
H001041,Q251763
H001042,Q16476
H001046,Q565374
H001061,Q374762
H001069,Q50597
H001075,Q10853588
H001076,Q24053
I000024,Q723134
I000055,Q130024
J000293,Q970272
K000367,Q22237
K000383,Q544464
K000384,Q359888
K000393,Q6250211
L000174,Q59315
L000575,Q45940
L000577,Q627098
M000133,Q1282411
M000303,Q10390
M000355,Q355522
M000639,Q888132
M000934,Q1365787
M001111,Q258825
M001153,Q22360
M001169,Q1077594
M001170,Q22260
M001176,Q1368405
M001183,Q538868
N000032,Q358437
P000449,Q926069
P000595,Q1494930
P000603,Q463557
P000612,Q17402717
R000122,Q528979
R000307,Q538375
R000584,Q721871
R000595,Q324546
R000605,Q722503
S000033,Q359442
S000148,Q380900
S000320,Q472254
S000770,Q241092
S001141,Q358443
S001181,Q270316
S001184,Q561315
S001194,Q1827902
S001197,Q16192221
S001198,Q5218668
S001202,Q6705642
T000250,Q462981
T000461,Q971308
T000464,Q529351
T000476,Q7786750
U000039,Q957690
V000128,Q1077819
W000437,Q390491
W000779,Q529344
W000802,Q652066
W000805,Q453893
W000817,Q434706
Y000064,Q25483
