id,start_date,end_date
Q10652,2011-05-06,2016-03-23
Q1071778,2011-05-06,2016-03-23
Q1083222,2011-05-06,2016-03-23
Q1097337,2011-05-06,2016-03-23
Q1108343,2011-05-06,2016-03-23
Q1175613,2011-05-06,2013-08-12
Q1176741,2011-05-06,2016-03-23
Q1176844,2011-05-06,2016-03-23
Q1176878,2011-05-06,2016-03-23
Q1189468,2011-05-06,2016-03-23
Q1200058,2011-05-06,2016-03-23
Q121780,2011-05-06,2016-03-23
Q1231522,2011-05-06,2016-03-23
Q1258767,2011-05-06,2016-03-23
Q1265439,2011-05-06,2016-03-23
Q1282862,2011-05-06,2016-03-23
Q13224746,2013-05-15,2016-03-23
Q1324826,2011-05-06,2016-03-23
Q1339371,2011-05-06,2016-03-23
Q1349075,2011-05-06,2016-03-23
Q1396732,2011-05-06,2013-11-09
Q1418512,2011-05-06,2016-03-23
Q1418528,2011-05-06,2016-03-23
Q1421398,2011-05-06,2016-03-23
Q1490268,2011-05-06,2016-03-23
Q1495635,2011-05-06,2012-10-23
Q1495635,2012-10-23,2016-03-23
Q1496418,2011-05-06,2016-03-23
Q15101536,2013-10-25,2016-03-23
Q1515752,2011-05-06,2016-03-23
Q1519985,2011-05-06,2016-03-23
Q1538053,2011-05-06,2016-03-23
Q1541328,2011-05-06,2016-03-23
Q1557330,2011-05-06,2016-03-23
Q1584068,2011-05-06,2016-03-23
Q16107237,2013-09-04,2016-03-23
Q1612012,2011-05-06,2016-03-23
Q16191157,2014-01-23,2016-03-23
Q1636293,2011-05-06,2016-03-23
Q1680794,2011-05-06,2016-03-23
Q1681399,2011-05-06,2016-03-23
Q1685871,2011-05-06,2012-10-23
Q1685871,2012-10-23,2016-03-23
Q1687049,2011-05-06,2016-03-23
Q1689091,2011-05-06,2016-03-23
Q1689118,2011-05-06,2016-03-23
Q1691804,2011-05-06,2016-03-23
Q1700778,2011-05-06,2016-03-23
Q1700987,2011-05-06,2016-03-23
Q1701321,2011-05-06,2012-12-07
Q1701389,2011-05-06,2016-03-23
Q1701702,2011-05-06,2016-03-23
Q1702190,2011-05-06,2014-09-23
Q1702190,2014-09-24,2016-03-23
Q1710696,2011-05-06,2016-03-23
Q1726790,2011-05-06,2016-03-23
Q1738042,2011-05-06,2016-03-23
Q1738887,2011-05-06,2016-03-23
Q1740263,2011-05-06,2016-03-23
Q1740370,2011-05-06,2016-03-23
Q174924,2011-05-06,2016-03-23
Q181224,2011-05-06,2016-03-23
Q1822125,2011-05-06,2016-03-23
Q1886983,2011-05-06,2016-03-23
Q1893669,2011-05-06,2016-03-23
Q1894865,2011-05-06,2016-03-23
Q1894872,2011-05-06,2016-03-23
Q1900077,2011-05-06,2016-03-23
Q1900265,2011-05-06,2013-05-14
Q1900265,2013-06-21,2016-03-23
Q1906255,2011-05-06,2016-03-23
Q1906394,2011-05-06,2016-03-23
Q1929110,2011-05-06,2016-03-23
Q1933290,2011-05-06,2016-03-23
Q1953630,2011-05-06,2016-03-23
Q200615,2011-05-06,2016-03-23
Q2057182,2011-05-06,2016-03-23
Q2057654,2011-05-06,2016-03-23
Q2061163,2011-05-06,2016-03-23
Q2063093,2011-05-06,2016-03-23
Q2149018,2011-05-06,2016-01-11
Q2150126,2011-05-06,2016-03-23
Q2150619,2011-05-06,2016-03-23
Q2177593,2011-05-06,2016-03-23
Q22131946,2016-01-13,2016-03-23
Q2357916,2011-05-06,2016-03-23
Q2439870,2011-05-06,2016-03-23
Q2581473,2011-05-06,2016-03-23
Q2641395,2011-05-06,2016-03-23
Q2647232,2011-05-06,2016-03-23
Q2647236,2011-05-06,2016-03-23
Q289184,2011-05-06,2016-03-23
Q305347,2011-05-06,2016-03-23
Q333811,2011-05-06,2016-03-23
Q333953,2011-05-06,2016-03-23
Q334376,2011-05-06,2014-04-04
Q349826,2011-05-06,2016-03-23
Q405017,2011-05-06,2016-03-23
Q405025,2011-05-06,2016-03-23
Q444675,2011-05-06,2016-03-23
Q466861,2011-05-06,2016-03-23
Q467097,2011-05-06,2016-03-23
Q467108,2011-05-06,2016-03-23
Q467112,2011-05-06,2016-03-23
Q509808,2011-05-06,2016-03-23
Q512681,2011-05-06,2016-03-23
Q5145257,2011-05-06,2016-03-23
Q524077,2011-05-06,2016-03-23
Q524532,2011-05-06,2016-03-23
Q540328,2011-05-06,2016-03-23
Q540381,2011-05-06,2016-03-23
Q540435,2011-05-06,2011-05-10
Q540435,2011-05-11,2016-03-23
Q544089,2011-05-06,2016-03-23
Q544483,2011-05-06,2016-03-23
Q544698,2011-05-06,2016-03-23
Q544729,2011-05-06,2016-03-23
Q544742,2011-05-06,2016-03-23
Q559022,2011-05-06,2016-03-23
Q559046,2011-05-06,2016-03-23
Q559391,2011-05-06,2016-03-23
Q559613,2011-05-06,2016-03-23
Q559634,2011-05-06,2016-03-23
Q563410,2011-05-06,2016-03-23
Q564093,2011-05-06,2016-03-23
Q565600,2011-05-06,2016-03-23
Q570298,2011-05-06,2013-04-25
Q5931093,2011-05-06,2016-03-23
Q6167868,2012-12-07,2016-03-23
Q644208,2011-05-06,2016-03-23
Q6963426,2011-05-06,2016-03-23
Q744632,2011-05-06,2016-03-23
Q769138,2011-05-06,2016-03-23
Q862234,2011-05-06,2016-03-23
Q862635,2011-05-06,2012-04-08
Q862635,2012-04-08,2013-09-07
Q887886,2011-05-06,2016-03-23
Q944741,2011-05-06,2016-03-23
Q979197,2011-05-06,2016-03-23
Q981061,2011-05-06,2016-03-23
Q983174,2011-05-06,2016-03-23
